Listing Name,Price,Room Type
Newly renovated historic brownstone,78,"Private room
         ·       
        4.8
          
          
        
      

         · 47 reviews"
"NEW
                    
                      Cozy Prewar near Prospect Park",50,Private room
Brooklyn Garden Apartment,99,"Entire home/apt
         ·       
        4.6
          
          
        
      

         · 43 reviews"
Clean & Convenient in Brooklyn,90,"Private room
         ·       
        4.7
          
          
        
      

         · 37 reviews"
Private bedroom in 3 bdrm apt,43,"Private room
         ·       
        4.1
          
          
        
      

         · 24 reviews"
Private Room in Heart of Brooklyn,70,"Private room
         ·       
        4.9
          
          
        
      

         · 24 reviews"
Cozy&Clean#1,50,"Private room
         ·       
        4.8
          
          
        
      

         · 27 reviews"
"Landmark Cottage, Brownstone block",210,"Entire home/apt
         ·       
        4.8
          
          
        
      

         · 52 reviews"
Luxury Living in Williamsburg,75,"Private room
         ·       
        4.7
          
          
        
      

         · 6 reviews"
Your own studio in Bed- Stuy.,50,"Entire home/apt
         ·       
        4.3
          
          
        
      

         · 61 reviews"
Brooklyn Room 1 Block from Subways,45,"Private room
        
         · 2 reviews"
Sunny Delight with Free Bikes!,75,"Private room
         ·       
        4.8
          
          
        
      

         · 44 reviews"
"IT""S A BEAUTIFUL DAY IN BROOKLYN! 1",78,"Private room
         ·       
        4.5
          
          
        
      

         · 54 reviews"
Comfy Room in the heart of BK!,46,"Private room
         ·       
        4.7
          
          
        
      

         · 25 reviews"
Sunny Studio near Prospect Park,80,"Entire home/apt
         ·       
        4.7
          
          
        
      

         · 36 reviews"
The Oasis,135,"Private room
         ·       
        4.7
          
          
        
      

         · 40 reviews"
Renovated Clinton Hill Loft,114,"Private room
         ·       
        4.7
          
          
        
      

         · 26 reviews"
Cozy Garden Room w/Garden Access,70,"Private room
         ·       
        4.7
          
          
        
      

         · 6 reviews"
